entity_name,region,value,gender
Papua New Guinea,Oceania,10576502,total
Paraguay,Americas,3474116,male
Paraguay,Americas,3455037,female
Paraguay,Americas,6929153,total
Peru,Americas,17017564,male
Peru,Americas,17200284,female
Peru,Americas,34217848,total
Philippines,Asia,57784107,male
Philippines,Asia,58059563,female
Philippines,Asia,115843670,total
Poland,Europe,17712630,male
Poland,Europe,18846603,female
Poland,Europe,36559233,total
Portugal,Europe,5094260,male
Portugal,Europe,5600421,female
Portugal,Europe,10694681,total
Qatar,Asia,2037072,male
Qatar,Asia,820750,female
Qatar,Asia,2857822,total
Romania,Europe,9227499,male
Romania,Europe,9824305,female
Romania,Europe,19051804,total
Russian Federation,Europe,66607914,male
Russian Federation,Europe,76925937,female
Russian Federation,Europe,143533851,total
Rwanda,Africa,6954758,male
Rwanda,Africa,7301809,female
Rwanda,Africa,14256567,total
Samoa,Oceania,109794,male
Samoa,Oceania,108225,female
Samoa,Oceania,218019,total
San Marino,Europe,16707,male
San Marino,Europe,17270,female
San Marino,Europe,33977,total
Sao Tome and Principe,Africa,117078,male
Sao Tome and Principe,Africa,118458,female
Sao Tome and Principe,Africa,235536,total
Saudi Arabia,Asia,21369165,male
Saudi Arabia,Asia,13931115,female
Saudi Arabia,Asia,35300280,total
Senegal,Africa,9405151,male
Senegal,Africa,9096833,female
Senegal,Africa,18501984,total
Serbia,Europe,3124778,male
Serbia,Europe,3461698,female
Serbia,Europe,6586476,total
Seychelles,Africa,66944,male
Seychelles,Africa,54410,female
Seychelles,Africa,121354,total
Sierra Leone,Africa,4309971,male
Sierra Leone,Africa,4332051,female
Sierra Leone,Africa,8642022,total
Singapore,Asia,3119075,male
Singapore,Asia,2917785,female
Singapore,Asia,6036860,total
Sint Maarten (Dutch part),Americas,21096,male
Sint Maarten (Dutch part),Americas,22254,female
Sint Maarten (Dutch part),Americas,43350,total
Slovak Republic,Europe,2647061,male
Slovak Republic,Europe,2775008,female
Slovak Republic,Europe,5422069,total
Slovenia,Europe,1068933,male
Slovenia,Europe,1058467,female
Slovenia,Europe,2127400,total
Solomon Islands,Oceania,418847,male
Solomon Islands,Oceania,400351,female
Solomon Islands,Oceania,819198,total
"Somalia, Fed. Rep.",Africa,9522790,male
"Somalia, Fed. Rep.",Africa,9486361,female
"Somalia, Fed. Rep.",Africa,19009151,total
South Africa,Africa,31152952,male
South Africa,Africa,32854235,female
South Africa,Africa,64007187,total
South Sudan,Africa,5874364,male
South Sudan,Africa,6069044,female
South Sudan,Africa,11943408,total
Spain,Europe,23982590,male
Spain,Europe,24866250,female
Spain,Europe,48848840,total
Sri Lanka,Asia,10603008,male
Sri Lanka,Asia,11312992,female
Sri Lanka,Asia,21916000,total
St. Kitts and Nevis,Americas,22423,male
St. Kitts and Nevis,Americas,24420,female
St. Kitts and Nevis,Americas,46843,total
St. Lucia,Americas,88743,male
St. Lucia,Americas,91001,female
St. Lucia,Americas,179744,total
St. Martin (French part),Americas,12150,male
St. Martin (French part),Americas,13979,female
St. Martin (French part),Americas,26129,total
St. Vincent and the Grenadines,Americas,51236,male
St. Vincent and the Grenadines,Americas,49380,female
St. Vincent and the Grenadines,Americas,100616,total
Sudan,Africa,25012749,male
Sudan,Africa,25436214,female
Sudan,Africa,50448963,total
Suriname,Americas,316926,male
Suriname,Americas,317505,female
Suriname,Americas,634431,total
Sweden,Europe,5323555,male
Sweden,Europe,5246154,female
Sweden,Europe,10569709,total
Switzerland,Europe,4473753,male
Switzerland,Europe,4531829,female
Switzerland,Europe,9005582,total
Syrian Arab Republic,Asia,12341170,male
Syrian Arab Republic,Asia,12331590,female
Syrian Arab Republic,Asia,24672760,total
Tajikistan,Asia,5203997,male
Tajikistan,Asia,5386930,female
Tajikistan,Asia,10590927,total
Tanzania,Africa,33983247,male
Tanzania,Africa,34576910,female
Tanzania,Africa,68560157,total
Thailand,Asia,34895390,male
Thailand,Asia,36772621,female
Thailand,Asia,71668011,total
Timor-Leste,Asia,706128,male
Timor-Leste,Asia,694510,female
Timor-Leste,Asia,1400638,total
Togo,Africa,4789204,male
Togo,Africa,4726032,female
Togo,Africa,9515236,total
Tonga,Oceania,49213,male
Tonga,Oceania,54962,female
Tonga,Oceania,104175,total
Trinidad and Tobago,Americas,676429,male
Trinidad and Tobago,Americas,691904,female
Trinidad and Tobago,Americas,1368333,total
Tunisia,Africa,6068423,male
Tunisia,Africa,6208686,female
Tunisia,Africa,12277109,total
Turkiye,Asia,42685629,male
Turkiye,Asia,42833032,female
Turkiye,Asia,85518661,total
Turkmenistan,Asia,3678122,male
Turkmenistan,Asia,3816376,female
Turkmenistan,Asia,7494498,total
Turks and Caicos Islands,Americas,23291,male
Turks and Caicos Islands,Americas,23244,female
Turks and Caicos Islands,Americas,46535,total
Tuvalu,Oceania,4936,male
Tuvalu,Oceania,4710,female
